[  0%] Linking CXX executable /home/parth/ns-allinone-3.44/ns-3.44/build/scratch/ns3-dev-P2Pool_v2-default
Node 0 sending message: Block 1 mined
Node 383 received message from Node 1
Node 492 received message from Node 1
Node 149 received message from Node 1
Node 386 received message from Node 1
Node 386 received message from Node 1
Node 277 received message from Node 1
Node 335 received message from Node 1
Node 415 received message from Node 1
Node 12 received message from Node 128
Node 180 received message from Node 160
Node 171 received message from Node 128
Node 177 received message from Node 160
Node 243 received message from Node 150
Node 61 received message from Node 128
Node 300 received message from Node 80
Node 291 received message from Node 22
Node 368 received message from Node 80
Node 203 received message from Node 80
Node 88 received message from Node 150
Node 499 received message from Node 160
Node 399 received message from Node 128
Node 246 received message from Node 128
Node 429 received message from Node 160
Node 448 received message from Node 22
Node 182 received message from Node 62
Node 296 received message from Node 160
Node 218 received message from Node 131
Node 55 received message from Node 160
Node 435 received message from Node 22
Node 260 received message from Node 45
Node 423 received message from Node 36
Node 154 received message from Node 150
Node 139 received message from Node 183
Node 421 received message from Node 172
Node 472 received message from Node 172
Node 111 received message from Node 244
Node 184 received message from Node 180
Node 281 received message from Node 5
Node 462 received message from Node 113
Node 155 received message from Node 180
Node 493 received message from Node 244
Node 467 received message from Node 13
Node 412 received message from Node 41
Node 407 received message from Node 244
Node 155 received message from Node 113
Node 70 received message from Node 13
Node 144 received message from Node 41
Node 76 received message from Node 166
Node 215 received message from Node 244
Node 21 received message from Node 112
Node 39 received message from Node 13
Node 173 received message from Node 219
Node 210 received message from Node 89
Node 141 received message from Node 244
Node 328 received message from Node 89
Node 23 received message from Node 244
Node 86 received message from Node 13
Node 18 received message from Node 89
Node 19 received message from Node 155
Node 181 received message from Node 157
Node 242 received message from Node 155
Node 266 received message from Node 112
Node 266 received message from Node 160
Node 19 received message from Node 140
Node 95 received message from Node 150
Node 428 received message from Node 5
Node 161 received message from Node 247
Node 481 received message from Node 219
Node 59 received message from Node 71
Node 476 received message from Node 140
Node 210 received message from Node 180
Node 88 received message from Node 166
Node 325 received message from Node 174
Node 120 received message from Node 168
Node 440 received message from Node 178
Node 94 received message from Node 13
Node 174 received message from Node 174
Node 484 received message from Node 181
Node 91 received message from Node 181
Node 431 received message from Node 182
Node 329 received message from Node 62
Node 275 received message from Node 87
Node 296 received message from Node 131
Node 458 received message from Node 226
Node 438 received message from Node 183
Node 485 received message from Node 92
Node 116 received message from Node 216
Node 253 received message from Node 212
Node 204 received message from Node 144
Node 133 received message from Node 204
Node 117 received message from Node 144
Node 46 received message from Node 221
Node 479 received message from Node 128
Node 305 received message from Node 121
Node 293 received message from Node 1
Node 255 received message from Node 174
Node 184 received message from Node 121
Node 449 received message from Node 212
Node 396 received message from Node 219
Node 407 received message from Node 181
Node 429 received message from Node 229
Node 387 received message from Node 219
Node 254 received message from Node 219
Node 199 received message from Node 185
Node 61 received message from Node 181
Node 307 received message from Node 237
Node 380 received message from Node 193
Node 424 received message from Node 168
Node 269 received message from Node 156
Node 332 received message from Node 168
Node 232 received message from Node 87
Node 41 received message from Node 62
Node 400 received message from Node 60
Node 393 received message from Node 134
Node 133 received message from Node 140
Node 363 received message from Node 168
Node 33 received message from Node 80
Node 216 received message from Node 244
Node 389 received message from Node 14
Node 435 received message from Node 207
Node 273 received message from Node 47
Node 121 received message from Node 134
Node 223 received message from Node 20
Node 290 received message from Node 180
Node 292 received message from Node 77
Node 367 received message from Node 185
Node 139 received message from Node 118
Node 2 received message from Node 142
Node 313 received message from Node 11
Node 19 received message from Node 175
Node 284 received message from Node 18
Node 123 received message from Node 183
Node 223 received message from Node 216
Node 140 received message from Node 169
Node 141 received message from Node 14
Node 346 received message from Node 20
Node 8 received message from Node 144
Node 225 received message from Node 50
Node 454 received message from Node 203
Node 378 received message from Node 13
Node 277 received message from Node 0
Node 82 received message from Node 255
Node 158 received message from Node 243
Node 291 received message from Node 226
Node 358 received message from Node 29
Node 491 received message from Node 22
Node 79 received message from Node 152
Node 299 received message from Node 243
Node 372 received message from Node 238
Node 295 received message from Node 13
Node 402 received message from Node 56
Node 487 received message from Node 70
Node 475 received message from Node 238
Node 320 received message from Node 254
Node 319 received message from Node 182
Node 164 received message from Node 244
Node 338 received message from Node 152
Node 160 received message from Node 117
Node 57 received message from Node 219
Node 108 received message from Node 131
Node 29 received message from Node 11
Node 297 received message from Node 254
Node 361 received message from Node 254
Node 134 received message from Node 172
Node 218 received message from Node 80
Node 243 received message from Node 22
Node 218 received message from Node 11
Node 470 received message from Node 70
Node 456 received message from Node 212
Node 179 received message from Node 207
Node 379 received message from Node 34
Node 340 received message from Node 62
Node 366 received message from Node 18
Node 452 received message from Node 34
Node 339 received message from Node 204
Node 124 received message from Node 22
Node 347 received message from Node 174
Node 42 received message from Node 42
Node 410 received message from Node 244
Node 265 received message from Node 247
Node 326 received message from Node 197
Node 180 received message from Node 254
Node 264 received message from Node 65
Node 231 received message from Node 50
Node 498 received message from Node 215
Node 109 received message from Node 134
Node 109 received message from Node 84
Node 280 received message from Node 144
Node 255 received message from Node 47
Node 494 received message from Node 204
Node 54 received message from Node 44
Node 60 received message from Node 83
Node 90 received message from Node 14
Node 3 received message from Node 103
Node 224 received message from Node 43
Node 54 received message from Node 44
Node 257 received message from Node 160
Node 197 received message from Node 122
Node 93 received message from Node 122
Node 192 received message from Node 141
Node 409 received message from Node 226
Node 103 received message from Node 174
Node 294 received message from Node 38
Node 63 received message from Node 217
Node 334 received message from Node 198
Node 235 received message from Node 24
Node 76 received message from Node 244
Node 163 received message from Node 174
Node 455 received message from Node 244
Node 248 received message from Node 226
Node 39 received message from Node 104
Node 233 received message from Node 25
Node 322 received message from Node 185
Node 198 received message from Node 135
Node 123 received message from Node 0
Node 157 received message from Node 77
Node 132 received message from Node 200
Node 369 received message from Node 14
Node 152 received message from Node 117
Node 330 received message from Node 175
Node 465 received message from Node 133
Node 11 received message from Node 141
Node 190 received message from Node 234
Node 54 received message from Node 236
Node 230 received message from Node 239
Node 13 received message from Node 175
Node 405 received message from Node 154
Node 413 received message from Node 64
Node 89 received message from Node 41
Node 236 received message from Node 243
Node 131 received message from Node 113
Node 414 received message from Node 22
Node 494 received message from Node 182
Node 96 received message from Node 175
Node 434 received message from Node 13
Node 146 received message from Node 158
Node 452 received message from Node 224
Node 135 received message from Node 210
Node 446 received message from Node 64
Node 370 received message from Node 29
Node 28 received message from Node 182
Node 268 received message from Node 183
Node 156 received message from Node 185
Node 437 received message from Node 226
Node 377 received message from Node 210
Node 302 received message from Node 9
Node 228 received message from Node 150
Node 63 received message from Node 2
Node 237 received message from Node 132
Node 165 received message from Node 180
